No,current_date,seed_date,house,sweet,sweet_category,width,height,size,url,AveCO2_7,AveSatu_7,AveHum_7,AveTemp_7,AveMaxTemp_7,AveMinTemp_7,AveDiffTemp_7,SumMaxTemp_7,SumMinTemp_7,SumDiffTemp_7,COL_21
1,11月28日,3月13日,2,4.3,2,2.6,2.9,7.54,https://firebasestorage.googleapis.com/v0/b/apuretomato6.appspot.com/o/oU6L7oRfT7UE0vDPJT6mzz4XrOT2%2F-LSPeQArmDB3fIEYie06%2Fimage%3A258?alt=media&token=c6f49763-5b5c-40f4-b46f-1c9e7f698b70,614.28,6.17,66.84,21.14,26.24,18.83,7.41,183.70,131.80,51.90,
2,11月28日,3月13日,2,4.5,2,2.4,2.7,6.48,https://firebasestorage.googleapis.com/v0/b/apuretomato6.appspot.com/o/oU6L7oRfT7UE0vDPJT6mzz4XrOT2%2F-LSPf5b6cC-tDzrvt2Gh%2Fimage%3A259?alt=media&token=3e0e7f3b-6458-4fce-9500-d4862a634b8e,614.28,6.17,66.84,21.14,26.24,18.83,7.41,183.70,131.80,51.90,
3,11月28日,3月13日,2,4,1,2.8,3.1,8.68,https://firebasestorage.googleapis.com/v0/b/apuretomato6.appspot.com/o/oU6L7oRfT7UE0vDPJT6mzz4XrOT2%2F-LSPfciXktJF_nQN5xDU%2Fimage%3A300?alt=media&token=4e5db765-8d4a-4c26-9f1e-15fd2ad2db4d,614.28,6.17,66.84,21.14,26.24,18.83,7.41,183.70,131.80,51.90,
4,11月28日,3月13日,2,3.5,1,3,3.5,10.5,https://firebasestorage.googleapis.com/v0/b/apuretomato6.appspot.com/o/oU6L7oRfT7UE0vDPJT6mzz4XrOT2%2F-LSPgOKoUV3ql2zulY6k%2Fimage%3A261?alt=media&token=0031a45b-a2ea-4ed5-a7eb-0dec41087b25,614.28,6.17,66.84,21.14,26.24,18.83,7.41,183.70,131.80,51.90,
5,11月28日,3月13日,2,4.3,2,2.5,2.8,7,https://firebasestorage.googleapis.com/v0/b/apuretomato6.appspot.com/o/oU6L7oRfT7UE0vDPJT6mzz4XrOT2%2F-LSPguH70njFjHOHo7oN%2Fimage%3A262?alt=media&token=22ff8b31-f48e-41ff-a8fc-57e1a10cc363,614.28,6.17,66.84,21.14,26.24,18.83,7.41,183.70,131.80,51.90,
6,11月28日,3月13日,2,4.5,2,2.7,2.9,7.83,https://firebasestorage.googleapis.com/v0/b/apuretomato6.appspot.com/o/oU6L7oRfT7UE0vDPJT6mzz4XrOT2%2F-LSPh9EE55SVY0Nkouo_%2Fimage%3A315?alt=media&token=669b1775-d6d9-485b-afe1-f534e4f644e5,614.28,6.17,66.84,21.14,26.24,18.83,7.41,183.70,131.80,51.90,
7,11月28日,3月13日,2,4.5,2,2.5,3.3,8.25,https://firebasestorage.googleapis.com/v0/b/apuretomato6.appspot.com/o/oU6L7oRfT7UE0vDPJT6mzz4XrOT2%2F-LSPhPxVcBFqqZN86pNh%2Fimage%3A265?alt=media&token=3115f71e-1494-4cb3-a16a-d71546db3fa7,614.28,6.17,66.84,21.14,26.24,18.83,7.41,183.70,131.80,51.90,
8,11月28日,3月13日,2,4.1,2,2.7,3,8.1,https://firebasestorage.googleapis.com/v0/b/apuretomato6.appspot.com/o/oU6L7oRfT7UE0vDPJT6mzz4XrOT2%2F-LSPhc7Ox-VTl75oIgFD%2Fimage%3A266?alt=media&token=cc13a262-84f8-4f3c-8baf-1929924cd869,614.28,6.17,66.84,21.14,26.24,18.83,7.41,183.70,131.80,51.90,
9,11月28日,3月13日,2,4.3,2,2.4,3,7.2,https://firebasestorage.googleapis.com/v0/b/apuretomato6.appspot.com/o/oU6L7oRfT7UE0vDPJT6mzz4XrOT2%2F-LSPhymMrjGs3PpfBrsJ%2Fimage%3A267?alt=media&token=0fd303c7-6c4a-4deb-8ea6-0b9ec998e1a2,614.28,6.17,66.84,21.14,26.24,18.83,7.41,183.70,131.80,51.90,
10,11月28日,3月13日,2,4.3,2,2.1,2.8,5.88,https://firebasestorage.googleapis.com/v0/b/apuretomato6.appspot.com/o/oU6L7oRfT7UE0vDPJT6mzz4XrOT2%2F-LSPiHtoLBPFf-Z89_fo%2Fimage%3A268?alt=media&token=56d2ad2e-dd45-46ee-b0c7-2c687365ac18,614.28,6.17,66.84,21.14,26.24,18.83,7.41,183.70,131.80,51.90,
